加入			かにゅう			その会に加入させてもらえなかった
再発			さいはつ			そういう事故は再発する恐れがあります
兎角			とかく				涙は兎角に止まなかった　（止む　個人の力では扱いかねるものに用いられるように思います。)(止まる　赤信号で止まりましたか)
>兼ねる			かねる				unable to do sth こういう事情ですから、残念ながら、せっかくのご招待をおうけいたしかねるのです
喋る			しゃべる			黙っていたことを後悔した人より、しゃべったことを後悔した人が多い。
>掌				たなごころ			おいおい当城を掌にし
取り混ぜる		とりまぜる			彼らはトマトを大小取り混ぜて売った
>従って			したがって			according to;先生の忠告に従って行動したほうがよい
>志				こころざし			何事をするにも志が大切
貫禄			かんろく			dignity 君は課長としての貫禄がない
欠席			けっせき			無断で欠席すべきではない
困難			こんなん			問題はいかにして我々がげんざいの困難を切り抜けるかである
事情			じじょう			彼女に会うべきかどうかは私自身が決める事情だ
>伺う			うかがう			call on;pay a visit;wait on;ask;hear;be told; 本日は伺うことができませんでした。
>刃				は					刃の鋭い、刃は鋭い
家計			かけい				彼女は家計のやり繰りに頭を抱えている
物資			ぶっし				公平に言って、彼は自分の限られた部下と物資で最善を尽くした
転校			てんこう			転校生は先生の鉛筆を削って機嫌を取った
手配			てはい				誰かお宅へ車で迎えに行くよう手配しておきましょうか
>呟く			つぶやく			嘀咕 叽歪 彼は学校に対する不満を呟いた　He muttered complaints against the school
>隠れる			かくれる			彼は戸の陰に隠れた
関税			かんぜい			
料			りょう
流す			ながす
			チーム
嫌う			きらう
辿る			たどる
恥じらう			はじらう
創造			そうぞう
象徴			しょうちょう
紛らわしい			まぎらわしい
申し込む			もうしこむ
迚も			とても
怒鳴る			どなる
流れる			ながれる
			もろに
			いつか
			スタイル
乳			ちち
頼る			たよる
にも拘らず			にもかかわらず
装備			そうび
余り			あんまり
農家			のうか
外観			がいかん
宇宙			うちゅう
			わがまま
生身			なまみ
金持ち			かねもち
			スプリング
労力			ろうりょく
職務			しょくむ
言伝			ことづて
禅			ぜん
出発			しゅっぱつ
不幸			ふこう
雑木			ざつぼく
迷惑			めいわく
何時か			いつか
持ち切り			もちきり
大半			たいはん
			アウト
基			もと
微妙			びみょう
貴重			きちょう
暇			いとま
運			うん
時期			じき
勘弁			かんべん
閲覧			えつらん
物議			ぶつぎ
具体			ぐたい
喜び			よろこび
明かり			あかり
寧ろ			むしろ
			それでも
飽和			ほうわ
加える			くわえる
出直し			でなおし
問い			とい
お休み			おやすみ
			ホール
寝かせる			ねかせる
無駄遣い			むだづかい
			マーケット
肩			かた
打つ			ぶつ
始末			しまつ
語彙			ごい
文字			もんじ
版画			はんが
			びっくり
梅雨			ばいう
放す			はなす
			ノック
身体			からだ
茎			くき
策			さく
細やか			こまやか
代表			だいひょう
貧しい			まずしい
煙			けむり
申告			しんこく
統制			とうせい
日			にち
回り			まわり
想像			そうぞう
			にっこり
臨む			のぞむ
不正			ふせい
前提			ぜんてい
就職			しゅうしょく
魚			うお
温暖			おんだん
都			みやこ
至る			いたる
教授			きょうじゅ
聖書			せいしょ
加味			かみ
出身			しゅっしん
綿			めん
文字			もじ
倣			ほう
			シナリオ
人類			じんるい
成人			せいじん
其れでは			それでは
破壊			はかい
役立つ			やくだつ
			すんなり
誤る			あやまる
助言			じょげん
異なる			ことなる
水気			すいき
刷り			すり
症状			しょうじょう
下番			かばん
質疑			しつぎ
重複			じゅうふく
収まる			おさまる
適宜			てきぎ
招き			まねき
首都			しゅと
端			はし
物質			ぶっしつ
優れる			すぐれる
直接			ちょくせつ
引き起こす			ひきおこす
帰宅			きたく
仏			ふつ
比較			ひかく
梅			うめ
産婦人科			さんふじんか
確かめる			たしかめる
一度に			いちどに
自身			じしん
			ポンプ
矢っ張り			やっぱり
茶			ちゃ
教科			きょうか
付ける			つける
成人			せいじん
科目			かもく
幸運			こううん
変更			へんこう
連帯			れんたい
官僚			かんりょう
治安			ちあん
澄ます			すます
次いで			ついで
個			か
富豪			ふごう
青年			せいねん
怠慢			たいまん
祭			まつり
			レディー
切れる			きれる
			パーセント
追い出す			おいだす
私有			しゆう
豊か			ゆたか
読書			どくしょ
方々			ほうぼう
反乱			はんらん
予想			よそう
信用			しんよう
危害			きがい
団体			だんたい
即座に			そくざに
歩む			あゆむ
祝う			いわう
全			ぜん
過ごす			すごす
吠える			ほえる
退屈			たいくつ
			ジーンズ
既婚			きこん
替える			かえる
空腹			くうふく
鍵			かぎ
本当			ほんとう
噂			うわさ
語学			ごがく
延期			えんき
言語			げんご
身			み
			ぐっすり
事項			じこう
心強い			こころづよい
保険			ほけん
包む			くるむ
救助			きゅうじょ
知り合い			しりあい
論文			ろんぶん
留める			とめる
向く			むく
支持			しじ
署名			しょめい
触れる			ふれる
立ち上がる			たちあがる
太陽			たいよう
捕獲			ほかく
			そして
管理			かんり
曇			くもり
台			だい
植物			しょくぶつ
牛			うし
慕う			したう
応急			おうきゅう
事前			じぜん
最高			さいこう
華奢			かしゃ
家具			かぐ
神経			しんけい
面白い			おもしろい
占領			せんりょう
			こんにちは
雷			かみなり
粘る			ねばる
立体			りったい
			ただ
従って			したがって
輸出			ゆしゅつ
割り算			わりざん
日当			にっとう
			そして
泉			いずみ
出席			しゅっせき
感じ			かんじ
垂れる			たれる
			いつでも
終			おわり
綿			わた
いつも			いつも
革			かわ
金庫			きんこ
面目			めんぼく
			ソース
			おおい
衝突			しょうとつ
いつも			いつも
充実			じゅうじつ
軍事			ぐんじ
首脳			しゅのう
其れ共			それとも
面皰			にきび
象			ぞう
放り込む			ほうりこむ
年代			ねんだい
丸ごと			まるごと
			レポート
匹			ひき
彼処			あそこ
主要			しゅよう
克服			こくふく
離婚			りこん
与える			あたえる
要点			ようてん
作用			さよう
剥げる			はげる
理想			りそう
可能			かのう
手品			てじな
			セレモニー
通り過ぎる			とおりすぎる
			ユニーク
泉			いずみ
参加			さんか
然も			さも
成る			なる
邪魔			じゃま
はあ			（感）
込める			こめる
軍			いくさ
照明			しょうめい
奇麗			きれい
始めまして			はじめまして
			トンネル
円			えん
軍備			ぐんび
悟る			さとる
木曜			もくよう
直ぐ			すぐ
断然			だんぜん
抜ける			ぬける
訓練			くんれん
			そこで
			バイオリン
磁器			じき
座席			ざせき
装置			そうち
極めて			きわめて
度			たび
予測			よそく
土			つち
錆び			さび
余裕			よゆう
行為			こうい
斜面			しゃめん
結び			むすび
			オーバー
刺激			しげき
国有			こくゆう
強調			きょうちょう
表			ひょう
			ティッシュペーパー
次			し
甘口			あまくち
冬眠			とうみん
捻子			ねじ
位置			いち
囲む			かこむ
被害			ひがい
嘘			うそ
はあ			（感）
故郷			こきょう
家来			けらい
和やか			なごやか
銀			ぎん
弁償			べんしょう
公然			こうぜん
棟			とう
			より
共			きょう
惜しむ			おしむ
豊か			ゆたか
便り			たより
又			また
			セット
統治			とうじ
			いつまでも
善			ぜん
煌々と			こうこうと
製鉄			せいてつ
闇			やみ
区画			くかく
急に			きゅうに
構う			かまう
範囲			はんい
機械			きかい
精々			せいぜい
勢い			いきおい
実際			じっさい
機関			きかん
転任			てんにん
番			ばん
年寄り			としより
抜く			ぬく
騒ぎ			さわぎ
本格			ほんかく
裁く			さばく
軒			けん
組			くみ
何			なに
始まり			はじまり
押さえる			おさえる
			きっぱり
掴む			つかむ
班			はん
大陸			たいりく
進学			しんがく
残り			のこり
失望			しつぼう
知らせ			しらせ
何の			どの
審判			しんぱん
忠実			ちゅうじつ
ご座います			ございます
禁じる			きんじる
軋む			きしむ
			マスター
条件			じょうけん
民族			みんぞく
読み			よみ
満たす			みたす
計器			けいき
数			かず
嘗める			なめる
節約			せつやく
下痢			げり
記録			きろく
九			く
化ける			ばける
分			ぶ
柄			がら
切実			せつじつ
人気			にんき
立ち上がる			たちあがる
尉			じょう
流行			はやり
強める			つよめる
採決			さいけつ
			あした
着飾る			きかざる
有する			ゆうする
注文			ちゅうもん
申し訳			もうしわけ
職員			しょくいん
仰っしゃる			おっしゃる
味方			みかた
諦める			あきらめる
武器			ぶき
			カテゴリー
幹線			かんせん
野生			やせい
弱める			よわめる
価値			かち
土産			みやげ
酔う			よう
拝啓			はいけい
夕べ			ゆうべ
軒			のき
			ロケット
間もなく			まもなく
要するに			ようするに
文			ぶん
共通			きょうつう
都市			とし
商品			しょうひん
点火			てんか
			なお
老い			おい
向け			むけ
助			じょ
同僚			どうりょう
扶養			ふよう
気風			きふう
神			かみ
未だ			まだ
避ける			さける
返済			へんさい
人物			じんぶつ
節			ふし
職			しょく
偶			たま
好ましい			このましい
帯			おび
発行			はっこう
差し引く			さしひく
胸			むね
苦痛			くつう
書斎			しょさい
遠方			えんぽう
調印			ちょういん
標語			ひょうご
活ける			いける
			タオル
哲学			てつがく
司法			しほう
一度に			いちどに
主任			しゅにん
教材			きょうざい
庁			ちょう
沿岸			えんがん
盛り上がる			もりあがる
貰う			もらう
浴びる			あびる
前			せん
改悪			かいあく
明くる			あくる
売れる			うれる
販売			はんばい
漂う			ただよう
全滅			ぜんめつ
納まる			おさまる
微笑む			ほほえむ
			スター
集中			しゅうちゅう
訳			やく
何時			いつ
就職			しゅうしょく
我慢			がまん
潜入			せんにゅう
遊牧			ゆうぼく
国家			こっか
位			くらい
違いない			ちがいない
単一			たんいつ
花びら			はなびら
自立			じりつ
質			しつ
金属			きんぞく
抓る			つねる
取り組む			とりくむ
姓名			せいめい
下さる			くださる
月賦			げっぷ
構える			かまえる
展望			てんぼう
			しきりに
			たとえ
越す			こす
骨折			こっせつ
終える			おえる
			センス
煙草			たばこ
破産			はさん
量			りょう
一帯			いったい
			ちらっと
月曜			げつよう
書斎			しょさい
			ダンプ
移行			いこう
事			こと
機能			きのう
創立			そうりつ
			ショー
			ドライ
			スープ
案じる			あんじる
考慮			こうりょ
			びっしょり
			ヒント
瞑る			つぶる
説く			とく
児			こ
権力			けんりょく
天然			てんねん
無効			むこう
諄い			くどい
原書			げんしょ
詩人			しじん
少女			しょうじょ
塾			じゅく
約			やく
動詞			どうし
繁殖			はんしょく
傍ら			かたわら
別に			べつに
僅か			わずか
脱退			だったい
			それぞれ
日曜			にちよう
乗せる			のせる
鼠			ねずみ
煙る			けむる
議決			ぎけつ
泳ぎ			およぎ
見舞い			みまい
生温い			なまぬるい
笑い			わらい
下り			くだり
行儀			ぎょうぎ
明らか			あきらか
態度			たいど
緊急			きんきゅう
			レバー
励む			はげむ
何処か			どこか
溝			こう
			かわいらしい
植民地			しょくみんち
			ニュアンス
金			かね
必然			ひつぜん
著名			ちょめい
撃つ			うつ
及ぼす			およぼす
			セット
下す			おろす
二人			ににん
旧			きゅう
理屈			りくつ
明瞭			めいりょう
本館			ほんかん
付属			ふぞく
眺め			ながめ
感謝			かんしゃ
命中			めいちゅう
発芽			はつが
敗戦			はいせん
だから			だから
経営			けいえい
同時			どうじ
戸籍			こせき
真下			ました
記憶			きおく
蓋			がい
傾向			けいこう
公			おおやけ
悲劇			ひげき
物足りない			ものたりない
指揮			しき
何で			なんで
資格			しかく
時刻			じこく
			ジャンプ
品			ひん
横断			おうだん
且つ			かつ
専ら			もっぱら
首輪			くびわ
			どんな
信頼			しんらい
書物			しょもつ
無難			ぶなん
博士			はかせ
分配			ぶんぱい
取材			しゅざい
年齢			ねんれい
適応			てきおう
設備			せつび
傾く			かたぶく
開始			かいし
購読			こうどく
藁			わら
軒			のき
雷			いかずち
週間			しゅうかん
間柄			あいだがら
			ピン
土台			どだい
優秀			ゆうしゅう
泳ぎ			およぎ
お昼			おひる
表す			あらわす
抗争			こうそう
混同			こんどう
体力			たいりょく
等級			とうきゅう
述べる			のべる
			ペンキ
後退			こうたい
思想			しそう
出世			しゅっせ
禁止			きんし
化粧			けしょう
議案			ぎあん
実			じつ
仕上げ			しあげ
精神			せいしん
生まれ			うまれ
沈む			しずむ
迅速			じんそく
導く			みちびく
養成			ようせい
			で
酷い			ひどい
世の中			よのなか
等しい			ひとしい
無知			むち
			おまえ
器官			きかん
傾			けい
気の毒			きのどく
無論			むろん
この頃			このごろ
強盗			ごうとう
出版			しゅっぱん
指導			しどう
横切る			よこぎる
お産			おさん
器用			きよう
責任			せきにん
大した			たいした
脅す			おどす
替える			かえる
頂く			いただく
最低			さいてい
天体			てんたい
驚異			きょうい
何となく			なんとなく
葦			よし
素晴らしい			すばらしい
波			なみ
基本			きほん
			ポーズ
感無量			かんむりょう
			よると
半ば			なかば
漏る			もる
給料			きゅうりょう
原作			げんさく
			さっと
夢中			むちゅう
区切り			くぎり
			クラブ
年間			ねんかん
文明			ぶんめい
現像			げんぞう
逆らう			さからう
ノー			（no）
理解			りかい
見当			けんとう
加える			くわえる
分母			ぶんぼ
			ですから
下心			したごころ
発			はつ
短縮			たんしゅく
側面			そくめん
丸い			まるい
手術			しゅじゅつ
承知			しょうち
婚約			こんやく
見る			みる
華美			かび
連休			れんきゅう
意志			いし
数字			すうじ
殺す			ころす
問い合わせる			といあわせる
無料			むりょう
屈折			くっせつ
独占			どくせん
巣			す
返還			へんかん
底			そこ
世紀			せいき
屋敷			やしき
記者			きしゃ
勤め先			つとめさき
支払う			しはらう
働き			はたらき
実に			じつに
掲げる			かかげる
費用			ひよう
運動			うんどう
黴菌			ばいきん
真心			まこころ
不可			ふか
勇気			ゆうき
決まり			きまり
躊躇う			ためらう
いえ			いえ
青年			せいねん
明白			あからさま
手回し			てまわし
飼う			かう
大方			おおかた
合わせる			あわせる
明るい			あかるい
碁盤			ごばん
頂上			ちょうじょう
社			やしろ
効き目			ききめ
総合			そうごう
			まさに
兼用			けんよう
大部分			だいぶぶん
七日			なぬか
武力			ぶりょく
代			しろ
願う			ねがう
質素			しっそ
所為			せい
内乱			ないらん
分ける			わける
接ぐ			つぐ
部			ぶ
			デコレーション
越える			こえる
			ストライキ
自主			じしゅ
			がっかり
感慨			かんがい
地域			ちいき
年鑑			ねんかん
傾斜			けいしゃ
			トーン
雇う			やとう
組む			くむ
繁栄			はんえい
金融			きんゆう
はい			（感）
故障			こしょう
吸収			きゅうしゅう
配偶者			はいぐうしゃ
訪問			ほうもん
掃除			そうじ
天才			てんさい
辺り			あたり
手段			しゅだん
襲撃			しゅうげき
体付き			からだつき
鼠			ねず
調子			ちょうし
嫌う			きらう
停留所			ていりゅうじょ
お腹			おなか
後			ご
高価			こうか
			インフレ
都会			とかい
検討			けんとう
補強			ほきょう
腿			もも
局			きょく
価値			かち
			マイク
台			だい
道徳			どうとく
悲しむ			かなしむ
			よい
完璧			かんぺき
互い			たがい
陸			りく
供給			きょうきゅう
金			きん
桐			きり
面倒			めんどう
今日は			こんにちは
当時			とうじ
際			きわ
歌手			かしゅ
採掘			さいくつ
勉強			べんきょう
悪化			あっか
手分け			てわけ
霜			しも
人体			じんたい
操る			あやつる
表情			ひょうじょう
平均			へいきん
強いて			しいて
収穫			しゅうかく
郷愁			きょうしゅう
省く			はぶく
見舞			みまい
			プラン
謝絶			しゃぜつ
			スープ
驚き			おどろき
多忙			たぼう
流れ			ながれ
冗談			じょうだん
物語			ものがたり
可愛い			かわいい
記事			きじ
登山			とざん
くっ付く			くっつく
栄える			さかえる
念			ねん
切れ			きれ
吃逆			しゃっくり
給料			きゅうりょう
一家			いっか
当てる			あてる
途端			とたん
反抗			はんこう
寛容			かんよう
茹でる			ゆでる
悪口			あっこう
昇る			のぼる
抵抗			ていこう
小包			こづつみ
株			かぶ
躓く			つまずく
居る			おる
背景			はいけい
一体			いったい
飲み込む			のみこむ
注目			ちゅうもく
御手洗い			おてあらい
岸			きし
沿う			そう
			ごめんなさい
消息			しょうそく
			まさか
籠			かご
認識			にんしき
価格			かかく
題			だい
率直			そっちょく
填める			はめる
缶			かん
昇進			しょうしん
流行			りゅうこう
			ケース
隠す			かくす
何故なら			なぜなら
重要			じゅうよう
生まれつき			うまれつき
七			なな
予感			よかん
越える			こえる
採集			さいしゅう
健康			けんこう
学問			がくもん
			ダブる
目的			もくてき
働き			はたらき
礼儀			れいぎ
病			やまい
人格			じんかく
冷淡			れいたん
眺める			ながめる
伝説			でんせつ
関心			かんしん
汚らわしい			けがらわしい
法案			ほうあん
交える			まじえる
			ストロボ
弱る			よわる
眼球			がんきゅう
情け深い			なさけぶかい
据え付ける			すえつける
慣習			かんしゅう
			ルール
了承			りょうしょう
			ほぼ
匂い			におい
日			にち
仲人			ちゅうにん
内容			ないよう
副			とりわけ
責める			せめる
推測			すいそく
其れから			それから
騙す			だます
梅雨			ばいう
握る			にぎる
怪我			けが
髪の毛			かみのけ
実情			じつじょう
酸化			さんか
出合う			であう
公演			こうえん
規模			きぼ
			ガレージ
応じる			おうじる
見せびらかす			みせびらかす
味わい			あじわい
			てんで
為来り			しきたり
飽きる			あきる
対			たい
河川			かせん
支度			したく
中枢			ちゅうすう
健やか			すこやか
攻撃			こうげき
種々			くさぐさ
告げる			つげる
抱える			かかえる
恩			おん
境遇			きょうぐう
見積り			みつもり
月謝			げっしゃ
取り戻す			とりもどす
浜			はま
売れ行き			うれゆき
生死			せいし
夫婦			ふうふ
初版			しょはん
			こんなに
引退			いんたい
学習			がくしゅう
明確			めいかく
悪い			にくい
想像			そうぞう
			しゃべる
放送			ほうそう
甲			きのえ
新鮮			しんせん
			うがい
踵			かかと
名人			めいじん
盛り			さかり
目盛			めもり
交付			こうふ
不明			ふめい
万一			まんいち
巧妙			こうみょう
期待			きたい
脆い			もろい
罰			ばち
正直			しょうじき
模様			もよう
経る			へる
			モニター
受け入れ			うけいれ
			レギュラー
我がまま			わがまま
原子			げんし
脳			のう
底			そこ
不満			ふまん
軒並み			のきなみ
間々			まま
止むを得ない			やむをえない
			いらいら
返答			へんとう
はい			（感）
存在			そんざい
害する			がいする
			ずれ
練習			れんしゅう
消耗			しょうこう
特産			とくさん
必死			ひっし
当てはめる			あてはめる
侮辱			ぶじょく
無視			むし
大戦			たいせん
			あんまり
争い			あらそい
選挙			せんきょ
控室			ひかえしつ
招く			まねく
減る			へる
父親			ちちおや
風土			ふうど
制裁			せいさい
膨脹			ぼうちょう
			とにかく
役			やく
跡切れる			とぎれる
突っ張る			つっぱる
出鱈目			でたらめ
七			なな
遅れ			おくれ
肉体			にくたい
梢			こずえ
当たる			あたる
組織			そしき
			あべこべ
行動			こうどう
現場			げんじょう
疲労			ひろう
運命			うんめい
制約			せいやく
支出			ししゅつ
数字			すうじ
一目			いちもく
花粉			かふん
著書			ちょしょ
着席			ちゃくせき
強いる			しいる
			すてき
素晴らしい			すばらしい
苛々			いらいら
だから			だから
誠			まこと
叩く			たたく
卯			ぼう
何			なん
優れる			すぐれる
一気			いっき
外			ほか
土地			とち
直			じき
銅			あかがね
縦			たて
実施			じっし
王			おう
蝶			ちょう
			ぐっすり
異性			いせい
不振			ふしん
金			かね
種			しゅ
			パス
専攻			せんこう
緊張			きんちょう
区別			くべつ
比重			ひじゅう
移動			いどう
全			ぜん
相当			そうとう
未来			みらい
諮る			はかる
細胞			さいぼう
			おどおど
建前			たてまえ
眼鏡			がんきょう
			オレンジ
厄介			やっかい
			がっちり
馬			うま
医師			いし
老い			おい
同調			どうちょう
作品			さくひん
没落			ぼつらく
宿泊			しゅくはく
攻め			せめ
籠			かご
脅かす			おどかす
渋滞			じゅうたい
骨			こつ
用品			ようひん
裏返し			うらがえし
見苦しい			みぐるしい
改良			かいりょう
			しばしば
世間			せけん
此れ			これ
日中			にっちゅう
等しい			ひとしい
どうぞ宜しく			どうぞよろしく
予報			よほう
邸宅			ていたく
罪			つみ
			デモ
在庫			ざいこ
勧める			すすめる
休暇			きゅうか
機			はた
減点			げんてん
湾			わん
名札			なふだ
仕立てる			したてる
氷			こおり
復興			ふっこう
調停			ちょうてい
完成			かんせい
召す			めす
親戚			しんせき
心理			しんり
尚更			なおさら
そこ			そこ
否定			ひてい
手元			てもと
篭る			こもる
支給			しきゅう
			すばしこい
職業			しょくぎょう
計る			はかる
限界			げんかい
列			れつ
解ける			とける
元来			がんらい
同居			どうきょ
清潔			せいけつ
個性			こせい
生			き
余り			あまり
上			うわ
工場			こうば
尻			しり
肩			かた
道徳			どうとく
正義			せいぎ
			ドライブイン
我々			われわれ
急に			きゅうに
上京			じょうきょう
銃			じゅう
完了			かんりょう
光景			こうけい
模索			もさく
体温			たいおん
件			くだん
痛む			いたむ
天災			てんさい
軸			じく
			がっくり
危ぶむ			あやぶむ
殆ど			ほとんど
汗			あせ
代弁			だいべん
逞しい			たくましい
正常			せいじょう
訴える			うったえる
向上			こうじょう
取り締まり			とりしまり
皿			さら
覆す			くつがえす
畑			はたけ
傲る			おごる
権限			けんげん
任命			にんめい
投票			とうひょう
所が			ところが
直感			ちょっかん
構え			かまえ
全く			まったく
捜査			そうさ
票			ひょう
景気			けいき
お大事に			おだいじに
各			おのおの
刑罰			けいばつ
演奏			えんそう
鬼			おに
上陸			じょうりく
意外			いがい
於いて			おいて
倹約			けんやく
平常			へいじょう
不思議			ふしぎ
下火			したび
救う			すくう
農民			のうみん
大概			たいがい
冠			かん
環境			かんきょう
誇り			ほこり
昼間			ちゅうかん
地域			ちいき
劇場			げきじょう
一番			いちばん
暮れ			くれ
衛星			えいせい
減少			げんしょう
今更			いまさら
通			つう
食料			しょくりょう
語る			かたる
人			じん
借り			かり
			スピード
事			こと
角			かく
街			まち
制する			せいする
然うして			そうして
			ゼリー
不安			ふあん
遅らす			おくらす
意図			いと
組み合わせ			くみあわせ
次々			つぎつぎ
部下			ぶか
清々しい			すがすがしい
追う			おう
添える			そえる
罵る			ののしる
側			そば
前置き			まえおき
貸し			かし
素早い			すばやい
			ゲスト
値			ね
眺める			ながめる
準備			じゅんび
告白			こくはく
理性			りせい
粗			あら
会			かい
経営			けいえい
直ちに			ただちに
漠然			ばくぜん
不思議			ふしぎ
練る			ねる
偶然			ぐうぜん
出身			しゅっしん
光熱費			こうねつひ
麻酔			ますい
熱量			ねつりょう
設立			せつりつ
的			てき
成り立つ			なりたつ
身			み
取れる			とれる
値段			ねだん
趣旨			しゅし
			ダンス
引っ張る			ひっぱる
給仕			きゅうじ
適度			てきど
混乱			こんらん
練習			れんしゅう
現象			げんしょう
党			とう
ローマ字			ローマじ
宙返り			ちゅうがえり
若しかすると			もしかすると
満ちる			みちる
略奪			りゃくだつ
物事			ものごと
及ぶ			およぶ
			どこか
			コメント
津波			つなみ
降伏			こうふく
生物			せいぶつ
案の定			あんのじょう
給う			たまう
無断			むだん
協調			きょうちょう
丸			まる
乗客			じょうきゃく
両替			りょうがえ
匂い			におい
兆			きざし
飼う			かう
方向			ほうこう
嫁			よめ
厭やらしい			いやらしい
泥			どろ
太陽			たいよう
隔週			かくしゅう
戻す			もどす
鉄棒			かなぼう
作業			さぎょう
女子			じょし
会			かい
			ビデオ
住宅			じゅうたく
断る			ことわる
			ボール
経験			けいけん
正しく			まさしく
気兼ね			きがね
適切			てきせつ
対立			たいりつ
拵える			こしらえる
列車			れっしゃ
幾つ			いくつ
乗客			じょうきゃく
耕作			こうさく
感動			かんどう
予測			よそく
損			そん
殺人			さつじん
欠く			かく
小切手			こぎって
行き違い			いきちがい
			それと
訴え			うったえ
拍手			はくしゅ
			クイズ
学歴			がくれき
船			ふね
安静			あんせい
構成			こうせい
			グラフ
家主			いえぬし
善し悪し			よしあし
自己			じこ
協会			きょうかい
以来			いらい
食卓			しょくたく
			アルバム
突く			つつく
可			か
地主			じぬし
			スポーツカー
			ざっと
世紀			せいき
専攻			せんこう
船			ふね
規範			きはん
逆立ち			さかだち
突然			とつぜん
制服			せいふく
武器			ぶき
頭痛			ずつう
郵便			ゆうびん
			ソファー
進学			しんがく
図書			としょ
貢献			こうけん
如何			いかが
診察			しんさつ
			グループ
出入り口			でいりぐち
繊維			せんい
箇所			かしょ
尿			にょう
			すごい
隠す			かくす
日常			にちじょう
裂ける			さける
			スタイル
随分			ずいぶん
無礼			ぶれい
流行			りゅうこう
位			くらい
栄養			えいよう
溢れる			あふれる
連想			れんそう
酒			さけ
沢山			たくさん
			ママ
仲			なか
風俗			ふうぞく
館			たち
綻びる			ほころびる
			キロ
			いざ
できる			（可能。出現。発生）
物事			ものごと
合計			ごうけい
打撃			だげき
許す			ゆるす
仕上がり			しあがり
			パイプ
関与			かんよ
			ガイドブック
一層			いっそう
茶の間			ちゃのま
宝器			ほうき
柵			さく
剃る			する
甘い			うまい
膝			ひざ
距離			きょり
			あと
世話			せわ
誇張			こちょう
			けれど
合意			ごうい
乃至			ないし
調子			ちょうし
円			えん
参考			さんこう
ここ			ここ
提携			ていけい
食物			しょくもつ
恐らく			おそらく
傷付く			きずつく
造り			つくり
望む			のぞむ
相場			そうば
様々			さまざま
主導			しゅどう
			キャッチ
			ドラマ
褒める			ほめる
国交			こっこう
支店			してん
輪			りん
短波			たんぱ
呼吸			こきゅう
			テント
転転			てんてん
一息			ひといき
対比			たいひ
			プロ
次第			しだい
			ヨーロッパ
			グランド
雑貨			ざっか
雨天			うてん
短気			たんき
諸			しょ
最終			さいしゅう
国会			こっかい
小屋			こや
あざ笑う			あざわらう
余所見			よそみ
腐敗			ふはい
裏切る			うらぎる
辞職			じしょく
伝言			つてごと
			しぶとい
譲る			ゆずる
館			かん
未			ひつじ
対して			たいして
			エンジン
派			は
悪日			あくび
暮らし			くらし
値			あたい
兎も角			ともかく
刑事			けいじ
規約			きやく
個人			こじん
誤魔化す			ごまかす
乱す			みだす
嫉妬			しっと
立場			たちば
動員			どういん
協議			きょうぎ
今回			こんかい
円滑			えんかつ
刀			かたな
此れ等			これら
			およそ
分ける			わける
			ちゃんと
物音			ものおと
感謝			かんしゃ
掬う			すくう
表面			ひょうめん
発車			はっしゃ
斑			ぶち
歓迎			かんげい
進出			しんしゅつ
冷静			れいせい
実態			じったい
直ちに			ただちに
及び			および
伺う			うかがう
海流			かいりゅう
限る			かぎる
達成			たっせい
背負う			しょう
公平			こうへい
企業			きぎょう
割る			わる
投入			とうにゅう
法			ほう
張る			はる
行員			こういん
主に			おもに
			ところで
一般			いっぱん
脅迫			きょうはく
当人			とうにん
女優			じょゆう
現金			げんきん
現実			げんじつ
責任			せきにん
仰ぐ			あおぐ
経緯			いきさつ
足し算			たしざん
親友			しんゆう
丘			おか
逆転			ぎゃくてん
一筋			ひとすき
税金			ぜいきん
桜			さくら
障害			しょうがい
苦労			くろう
期			き
強行			きょうこう
嵐			あらし
癖			くせ
正			せい
強制			きょうせい
金銭			きんせん
填まる			はまる
地球			ちきゅう
叫ぶ			さけぶ
			おっかない
知識			ちしき
忠告			ちゅうこく
分			ふん
血管			けっかん
雑			ざつ
一種			いっしゅ
実行			じっこう
			ボルト
繰り返す			くりかえす
椅子			いす
遂げる			とげる
突如			とつじょ
一様			いちよう
微量			びりょう
心配			しんぱい
九			く
中学			ちゅうがく
発生			はっせい
文明			ぶんめい
好み			このみ
息			いき
公認			こうにん
征服			せいふく
本の			ほんの
穴			あな
少女			しょうじょ
収入			しゅうにゅう
心地			ここち
反り			そり
健康			けんこう
維持			いじ
評価			ひょうか
送金			そうきん
台本			だいほん
白状			はくじょう
小			しょう
暮らす			くらす
貢献			こうけん
高まる			たかまる
基			もとい
中古			ちゅうこ
歌手			かしゅ
縮まる			ちぢまる
			デート
			グレー
俺			おれ
普段			ふだん
徹底			てってい
廃棄			はいき
一家			いっか
準じる			じゅんじる
柄			え
挑む			いどむ
口頭			こうとう
仕掛け			しかけ
無			む
答案			とうあん
新た			あらた
軽率			けいそつ
政策			せいさく
嘗て			かつて
地形			じぎょう
何か			なにか
装飾			そうしょく
聞き取り			ききとり
最終			さいしゅう
突然			とつぜん
特集			とくしゅう
選手			せんしゅ
週			しゅう
			サンキュー
代金			だいきん
真珠			しんじゅ
出発			しゅっぱつ
燃える			もえる
敵			てき
状態			じょうたい
冒頭			ぼうとう
虫歯			むしば
祈り			いのり
死			し
義務			ぎむ
海外			かいがい
嗚呼			ああ
ここ			ここ
悲劇			ひげき
